,Book-Author,Book-Title,Title-Substring,ISBN
12926,a lobo antunes,exortacao aos crocodilos,exortacao aos crocodilos,9722016563
2523,a . a . attanasio,the dragon and the unicorn,the dragon and the unicorn,0061057797
13374,a . a . milne,pu der bar,pu der bar,3423703954
8498,a . a . milne,the house at pooh corner,the house at pooh corner,0140361227
16076,a . a . milne,the red house mystery ( dover mystery classics ),the red house mystery,0486401294
8916,a . a . milne,walt disneys winnie the pooh and tigger too ( disney's wonderful world of reading ; 35 ),walt disneys winnie the pooh and tigger too,0394825691
12346,a . a . milne,where's piglet ? ( mouse works peek - a - pooh book ),where's piglet,157082262X
16342,a . c . bhaktivedanta swami prabhupada et al,the higher taste : a guide to gourmet vegetarian cooking and a karma - free diet,the higher taste,0892131284
13946,a . c . crispin,v,v,0523422377
13283,a . c . doyle,best of sherlock holmes,best of sherlock holmes,1853267481
3904,a . c . doyle,return of sherlock holmes ( wordsworth classics ),return of sherlock holmes,1853260584
14606,a . c . h . smith,the dark crystal,the dark crystal,0030624363
17273,a . c . parfitt,brooklyn beckham : the secret diary,brooklyn beckham,1903402042
13180,a . j . holt,watch me,watch me,0312959974
14534,a . jardin,le zebre,le zebre,2070382753
3586,a . l . alexander,poems that touch the heart,poems that touch the heart,0385044011
14035,a . m . homes,music for torching,music for torching,068816711X
1894,a . manette ansay,midnight champagne : a novel ( mysteries & horror ),midnight champagne,038072975X
11099,a . manette ansay,midnight champagne : a novel,midnight champagne,0688152449
4498,a . manette ansay,read this and tell me what it says : stories ( bard book ),read this and tell me what it says,0380730774
9685,a . manette ansay,river angel : a novel ( mysteries & horror ),river angel,0380729741
7019,a . manette ansay,sister ( mysteries & horror ),sister,0380729768
405,a . manette ansay,vinegar hill ( oprah's book club ( hardcover ) ),vinegar hill,0688180639
187,a . manette ansay,vinegar hill ( oprah's book club ( paperback ) ),vinegar hill,0380730138
9434,a . martin,julie of the wolves,julie of the wolves,0590134701
6899,a . n . roquelaure,beauty's release,beauty's release,0452266637
12101,a . r . gurney,love letters and two other plays : the golden age and what i did last summer ( plume drama ),love letters and two other plays,0452265010
