,User-ID,User-City,User-State,User-Country,User-Age
3368,20857,stuttgart, baden-wuerttemberg," germany""",244.0
1483,8782,calgary, alberta," canada""",239.0
10114,58286,midvale, utah," usa""",237.0
29817,172058,lake mary, florida," usa""",229.0
33243,192413,elverta, california," usa""",228.0
41917,242214,golden, colorado," usa""",228.0
28372,163827,olympia, cascadia," usa""",226.0
42520,245231,christchurch, canterbury," nz""",220.0
9056,52472,frisco/dallas, texas," usa""",209.0
13332,76865,arrasate, gipuzkoa," euskal herria""",209.0
39140,226616,tucson, arizona," usa""",204.0
2158,13273,harrisburg, pennsylvania," usa""",201.0
44676,257430,reutlingen, baden-wuerttemberg," germany""",200.0
28339,163655,langenfeld, nrw," germany""",199.0
23711,136357,puyallup, washington," usa""",152.0
2056,12692,jacksonville, florida," usa""",151.0
33837,196036,san francisco, california," usa""",148.0
21051,121726,balmain, new south wales," australia""",148.0
18107,104816,iowa city, iowa," usa""",147.0
5145,30590,cambridge, cambridgeshire," united kingdom""",141.0
45901,264934,madrid, madrid," spain""",140.0
15676,90766,rangoon, rangoon," burma""",136.0
12511,71800,sunnyvale, california," usa""",136.0
8740,50769,glasgow, scotland," united kingdom""",133.0
4682,28091,fort collins, colorado," usa""",128.0
26225,150861,baton rouge, louisiana," usa""",116.0
38828,224764,rockaway, new jersey," usa""",116.0
16610,95864,edinburgh, scotland,,108.0
40496,234286,manteca, california," usa""",104.0
46258,267050,bad homburg, hessen," germany""",104.0
28281,163352,cardiff, wales," united kingdom""",104.0
6087,35427,bonn, nordrhein-westfalen," germany""",104.0
18936,109784,tinana, queensland," australia""",104.0
48195,278302,düsseldorf, nordrhein-westfalen," germany""",104.0
2233,13801,burlington, ontario," canada""",104.0
4319,26083,leipzig, sachsen,,104.0
27896,161218,ploiesti, prahova," romania""",104.0
38699,224003,somerville, massachusetts," usa""",104.0
18537,107339,vitoria, álava," spain""",104.0
27484,158594,north ryde, new south wales," australia""",104.0
17329,100198,barcelona, australian capital territory," spain""",104.0
12634,72575,paris, illinois," usa""",103.0
46971,270765,st petersburg, florida," usa""",103.0
