,User-ID,User-City,User-Country,User-Age
9758,56235,merced," afghanistan""",80.0
28030,161968,savannah," afghanistan""",25.0
24925,143435,," albania""",
451,2552,frankenthal," alderney""",
6585,37984,ala," algeria""",34.0
15008,86728,jacksonville," america""",26.0
47656,275270,luanda," angola""",51.0
5684,33179,freedonia," antarctica""",
20637,119206,mcmurdo station," antarctica""",
7142,41231,dublin," antigua and barbuda""",35.0
1682,10250,berisso," argentina""",45.0
25041,144100,bs as," argentina""",23.0
13529,77943,buenos aires," argentina""",20.0
1734,10649,buenos aires," argentina""",27.0
28670,165625,buenos aires," argentina""",32.0
1226,7215,buenos aires," argentina""",34.0
10751,61806,buenos aires," argentina""",35.0
780,4686,buenos aires," argentina""",
9279,53619,buenos aires," argentina""",
33003,191037,buenos aires," argentina""",
45254,260881,buenos aires," argentina""",
21329,123389,capital federal," argentina""",
17463,101038,south bend," argentina""",
34675,201356,villa allende," argentina""",22.0
17542,101550,villa ballester," argentina""",29.0
14625,84538,madawaska," aroostook""",
10465,60081,malmok," aruba""",
47133,271622,malmok," aruba""",
42942,247783,na," aruba""",14.0
2646,16342,aberfoyle park," australia""",45.0
40829,236306,aberfoyle park," australia""",47.0
33529,194031,acacia gardens," australia""",
41391,239268,adelaide," australia""",13.0
4442,26664,adelaide," australia""",15.0
18569,107569,adelaide," australia""",17.0
35476,205904,adelaide," australia""",20.0
30520,175910,adelaide," australia""",21.0
5588,32575,adelaide," australia""",23.0
12487,71683,adelaide," australia""",23.0
36451,210695,adelaide," australia""",23.0
18494,107044,adelaide," australia""",24.0
34174,198176,adelaide," australia""",24.0
38115,220867,adelaide," australia""",25.0
4805,28779,adelaide," australia""",26.0
5740,33487,adelaide," australia""",26.0
17059,98668,adelaide," australia""",26.0
46211,266798,adelaide," australia""",26.0
6881,39591,adelaide," australia""",27.0
9362,54165,adelaide," australia""",27.0
31837,183752,adelaide," australia""",27.0
13425,77400,adelaide," australia""",29.0
15377,88882,adelaide," australia""",29.0
42527,245270,adelaide," australia""",30.0
12989,74782,adelaide," australia""",32.0
17087,98772,adelaide," australia""",35.0
46751,269607,adelaide," australia""",36.0
3921,23812,adelaide," australia""",37.0
16738,96659,adelaide," australia""",37.0
44678,257449,adelaide," australia""",38.0
14153,81788,adelaide," australia""",49.0
43929,253115,adelaide," australia""",51.0
25027,144004,adelaide," australia""",53.0
