Book-Author,num_ratings,avg_rating
joshua harris,1,10.0
barbara williams,1,10.0
sogyal rinpoche,1,10.0
ernest h . milne,2,10.0
soheir khashoggi,1,10.0
ernest matthew mickler,1,10.0
bathroom readers institute,3,10.0
bathroom readers hysterical society,2,10.0
linda francis lee,1,10.0
stan nicholls,1,10.0
barry hoffman,1,10.0
eugene burdick,1,10.0
leslea newman,2,10.0
skip williams,4,10.0
f . watt,2,10.0
faith popcorn,1,10.0
leo buscaglia,1,10.0
florence parry heide,1,10.0
stephen william hawking,3,10.0
laurie mcbain,1,10.0
laurence jaugey - paget,3,10.0
steven kroll,3,10.0
laurel doud,1,10.0
laura numeroff joffe,1,10.0
ernest drake,1,10.0
sister souljah,1,10.0
laura ingall wilder,1,10.0
ellen b . ewald,1,10.0
marguerite henry,1,10.0
marcus j . borg,2,10.0
samuel b . griffith,2,10.0
marcel pagnol,1,10.0
manuel de pedrolo,1,10.0
elizabeth boyle,1,10.0
elizabeth doyle,2,10.0
elizabeth ehrlich,1,10.0
lynn johnston,1,10.0
lynn freed,1,10.0
betty edwards,1,10.0
lisa boyer,1,10.0
betty crocker,1,10.0
sean hannity,1,10.0
ellen jackson,1,10.0
betsy byars,1,10.0
shakti gawain,1,10.0
beth hilgartner,1,10.0
loraine hutchins,1,10.0
emmuska orczy orczy,1,10.0
eric carle,1,10.0
patrick mcmanus,2,10.0
frank m . robinson,1,10.0
friedrich ani,1,10.0
marilyn sadler,1,10.0
guinness world records,1,10.0
kate klise,1,10.0
anne marie duquette,1,10.0
taschen america,2,10.0
ted menten,5,10.0
anne byrn,1,10.0
karen rose,1,10.0
graeme base,1,10.0
kalen rogers,1,10.0
ann rhoney,1,10.0
theodore taylor,1,10.0
ann louise gittleman,1,10.0
kathleen woodiwiss,1,10.0
judy blunt,1,10.0
judith tarr,2,10.0
judi barrett,1,10.0
josip novakovich,1,10.0
josephine hart,1,10.0
harry palmer,1,10.0
joseph o'connor,1,10.0
harvey bernhard,1,10.0
joseph j . ellis,1,10.0
harvey mackay,1,10.0
kathleen meyer,1,10.0
kathrine kressmann taylor,2,10.0
lars eighner,1,10.0
susan king,1,10.0
fynn,1,10.0
susan fromberg schaeffer,2,10.0
