Title-and-Author,num_ratings,avg_rating
the lovely bones by alice sebold,253,8.233201581027668
wild animus by rich shapero,195,4.1179487179487175
harry potter and the sorcerer's stone by j . k . rowling,185,9.14054054054054
she's come undone by wally lamb,181,7.795580110497237
the da vinci code by dan brown,179,8.430167597765363
bridget jones's diary by helen fielding,166,7.9156626506024095
divine secrets of the ya - ya sisterhood by rebecca wells,150,7.86
the nanny diaries by emma mclaughlin,142,7.570422535211268
life of pi by yann martel,134,8.23134328358209
the red tent by anita diamant,133,8.300751879699249
the secret life of bees by sue monk kidd,131,8.404580152671755
angels & demons by dan brown,129,7.906976744186046
harry potter and the chamber of secrets by j . k . rowling,127,8.874015748031496
the pilot's wife by anita shreve,124,7.879032258064516
where the heart is by billie letts,120,8.208333333333334
white oleander by janet fitch,118,7.745762711864407
harry potter and the prisoner of azkaban by j . k . rowling,115,9.121739130434783
angela's ashes by frank mccourt,114,8.219298245614034
girl with a pearl earring by tracy chevalier,113,8.08849557522124
interview with the vampire by anne rice,113,7.8053097345132745
the green mile by stephen king,112,8.482142857142858
the girls' guide to hunting and fishing by melissa bank,109,6.6422018348623855
the notebook by nicholas sparks,105,8.028571428571428
summer sisters by judy blume,103,7.611650485436893
to kill a mockingbird by harper lee,102,9.147058823529411
harry potter and the goblet of fire by j . k . rowling,101,9.267326732673267
good in bed by jennifer weiner,99,8.303030303030303
the hobbit by j . r . r . tolkien,98,9.16326530612245
a painted house by john grisham,98,7.459183673469388
little altars everywhere by rebecca wells,97,7.628865979381444
harry potter and the order of the phoenix by j . k . rowling,96,8.979166666666666
the fellowship of the ring by j . r . r . tolkien,94,9.170212765957446
the catcher in the rye by j . d . salinger,92,7.619565217391305
the poisonwood bible by barbara kingsolver,91,8.351648351648352
the firm by john grisham,90,7.888888888888889
tuesdays with morrie by mitch albom,86,8.523255813953488
jurassic park by michael crichton,86,7.72093023255814
american gods by neil gaiman,85,8.08235294117647
me talk pretty one day by david sedaris,84,8.19047619047619
confessions of a shopaholic by sophie kinsella,84,7.857142857142857
lucky by alice sebold,83,8.481927710843374
red dragon by thomas harris,81,8.049382716049383
the pelican brief by john grisham,80,7.6875
the handmaid's tale by margaret atwood,79,8.784810126582279
bridget jones by helen fielding,79,7.3924050632911396
wicked by gregory maguire,77,8.025974025974026
the summons by john grisham,76,7.368421052631579
the bridges of madison county by robert james waller,76,7.394736842105263
midnight in the garden of good and evil by john berendt,76,7.842105263157895
the divine secrets of the ya - ya sisterhood by rebecca wells,76,7.881578947368421
hearts in atlantis by stephen king,75,7.586666666666667
fast food nation by eric schlosser,75,8.32
about a boy by nick hornby,75,8.013333333333334
a time to kill by john grisham,74,7.972972972972973
the testament by john grisham,73,7.438356164383562
snow falling on cedars by david guterson,73,7.945205479452055
the rainmaker by john grisham,73,7.589041095890411
the joy luck club by amy tan,73,8.095890410958905
1st to die by james patterson,72,7.777777777777778
left behind by tim lahaye,71,7.605633802816901
a heartbreaking work of staggering genius by dave eggers,71,7.450704225352113
pride and prejudice by jane austen,71,8.943661971830986
the chamber by john grisham,70,7.614285714285714
dreamcatcher by stephen king,70,7.0
like water for chocolate by laura esquivel,70,8.0
hannibal by thomas harris,70,6.957142857142857
the five people you meet in heaven by mitch albom,70,8.342857142857143
a prayer for owen meany by john irving,69,8.594202898550725
house of sand and fog by andre dubus iii,69,7.565217391304348
timeline by michael crichton,68,7.602941176470588
the stand by stephen king,68,8.867647058823529
the runaway jury by john grisham,67,7.8059701492537314
suzanne's diary for nicholas by james patterson,67,7.746268656716418
i know this much is true by wally lamb,67,8.26865671641791
wuthering heights by emily bronte,66,8.181818181818182
nickel and dimed by barbara ehrenreich,66,8.212121212121213
the vampire lestat by anne rice,65,7.953846153846154
the no . 1 ladies' detective agency by alexander mccall smith,65,7.7846153846153845
one for the money by janet evanovich,64,8.21875
how to be good by nick hornby,64,6.609375
the client by john grisham,63,7.809523809523809
high fidelity by nick hornby,63,8.047619047619047
the hours by michael cunningham,62,7.548387096774194
the curious incident of the dog in the night - time by mark haddon,62,8.129032258064516
the partner by john grisham,62,7.82258064516129
bel canto by ann patchett,61,8.327868852459016
bag of bones by stephen king,61,8.180327868852459
message in a bottle by nicholas sparks,61,7.459016393442623
jane eyre by charlotte bronte,61,8.245901639344263
the brethren by john grisham,61,7.590163934426229
black and blue by anna quindlen,61,7.491803278688525
a wrinkle in time by madeleine l'engle,61,8.918032786885245
