,Title-and-Author,num_ratings,avg_rating
93,the two towers by j . r . r . tolkien,61,9.459016393442624
108,the return of the king by j . r . r . tolkien,56,9.392857142857142
463,84 charing cross road by helene hanff,24,9.333333333333334
222,the little prince by antoine de saint - exupery,37,9.324324324324325
25,harry potter and the goblet of fire by j . k . rowling,101,9.267326732673268
258,anne of green gables by l . m . montgomery,35,9.17142857142857
31,the fellowship of the ring by j . r . r . tolkien,94,9.170212765957446
27,the hobbit by j . r . r . tolkien,98,9.16326530612245
24,to kill a mockingbird by harper lee,102,9.147058823529411
2,harry potter and the sorcerer's stone by j . k . rowling,185,9.14054054054054
16,harry potter and the prisoner of azkaban by j . k . rowling,115,9.121739130434785
305,anne frank by anne frank,32,9.0625
161,dune by frank herbert,46,9.043478260869565
352,the giver by lois lowry,29,9.03448275862069
98,1984 by george orwell,59,9.0
253,lamb by christopher moore,35,9.0
107,outlander by diana gabaldon,57,8.982456140350877
30,harry potter and the order of the phoenix by j . k . rowling,96,8.979166666666666
283,charlotte's web by e . b . white,33,8.969696969696969
359,little women by louisa may alcott,28,8.964285714285714
61,pride and prejudice by jane austen,71,8.943661971830986
91,a wrinkle in time by madeleine l'engle,61,8.918032786885245
470,voyager by diana gabaldon,24,8.916666666666666
281,dragonfly in amber by diana gabaldon,33,8.909090909090908
434,restaurant at the end of the universe by douglas adams,25,8.88
311,the time traveler's wife by audrey niffenegger,32,8.875
12,harry potter and the chamber of secrets by j . k . rowling,127,8.874015748031496
70,the stand by stephen king,68,8.867647058823529
100,ender's game by orson scott card,59,8.847457627118644
213,the subtle knife by philip pullman,38,8.842105263157896
214,siddhartha by hermann hesse,38,8.81578947368421
323,middlesex by jeffrey eugenides,31,8.806451612903226
287,high five by janet evanovich,33,8.787878787878787
43,the handmaid's tale by margaret atwood,79,8.784810126582279
482,night by elie wiesel,23,8.782608695652174
439,to the nines by janet evanovich,25,8.76
285,the lord of the rings by j . r . r . tolkien,33,8.757575757575758
219,the princess bride by william goldman,37,8.756756756756756
304,their eyes were watching god by zora neale hurston,32,8.75
155,the drawing of the three by stephen king,47,8.74468085106383
446,the house of the spirits by isabel allende,24,8.708333333333334
143,the golden compass by philip pullman,48,8.708333333333334
388,"life , the universe and everything by douglas adams",27,8.703703703703704
226,hard eight by janet evanovich,37,8.702702702702704
478,the godfather by mario puzo,23,8.695652173913043
255,the grapes of wrath by john steinbeck,35,8.685714285714285
430,the magician's nephew by c . s . lewis,25,8.68
373,the other boleyn girl by philippa gregory,28,8.678571428571429
182,good omens by neil gaiman,42,8.666666666666666
468,lies and the lying liars who tell them by al franken,24,8.666666666666666
374,interpreter of maladies by jhumpa lahiri,27,8.666666666666666
178,the clan of the cave bear by jean m . auel,43,8.651162790697674
207,two for the dough by janet evanovich,39,8.64102564102564
116,the color purple by alice walker,54,8.62962962962963
126,watership down by richard adams,52,8.615384615384615
118,into thin air by jon krakauer,54,8.61111111111111
233,from potter's field by patricia daniels cornwell,36,8.61111111111111
491,fight club by chuck palahniuk,23,8.608695652173912
67,a prayer for owen meany by john irving,69,8.594202898550725
358,catch 22 by joseph heller,28,8.571428571428571
247,roses are red by james patterson,35,8.571428571428571
202,it by stephen king,39,8.564102564102564
128,fried green tomatoes at the whistle stop cafe by fannie flagg,52,8.557692307692308
389,stranger in a strange land by robert a . heinlein,27,8.555555555555555
409,all that remains by patricia d . cornwell,26,8.538461538461538
204,ishmael by daniel quinn,39,8.538461538461538
363,stardust by neil gaiman,28,8.535714285714286
303,what to expect the first year by arlene eisenberg,32,8.53125
261,illusions by richard bach,34,8.529411764705882
35,tuesdays with morrie by mitch albom,86,8.523255813953488
203,holes by louis sachar,39,8.512820512820513
113,fahrenheit 451 by ray bradbury,55,8.50909090909091
198,a walk in the woods by bill bryson,40,8.5
414,the color of water by james mcbride,26,8.5
456,four blind mice by james patterson,24,8.5
252,one flew over the cuckoo's nest by ken kesey,35,8.485714285714286
289,seven up by janet evanovich,33,8.484848484848484
20,the green mile by stephen king,112,8.482142857142858
40,lucky by alice sebold,83,8.481927710843374
376,face the fire by nora roberts,27,8.481481481481481
130,the hitchhiker's guide to the galaxy by douglas adams,52,8.48076923076923
195,different seasons by stephen king,40,8.475
228,animal farm by george orwell,37,8.45945945945946
460,the amber spyglass by philip pullman,24,8.458333333333334
353,of mice and men by john steinbeck,29,8.448275862068966
346,jonathan livingston seagull by richard bach,29,8.448275862068966
344,island of the blue dolphins by scott o'dell,29,8.448275862068966
174,the mists of avalon by marion zimmer bradley,43,8.44186046511628
436,flowers for algernon by daniel keyes,25,8.44
191,seabiscuit by laura hillenbrand,41,8.439024390243903
308,on writing by stephen king,32,8.4375
4,the da vinci code by dan brown,179,8.430167597765363
411,a kiss of shadows by laurell k . hamilton,26,8.423076923076923
275,hot six by janet evanovich,34,8.411764705882353
10,the secret life of bees by sue monk kidd,131,8.404580152671755
156,naked by david sedaris,47,8.382978723404255
225,four to score by janet evanovich,37,8.378378378378379
465,lolita by vladimir nabokov,24,8.375
231,the alchemist by paulo coelho,36,8.36111111111111
437,the amazing adventures of kavalier & clay by michael chabon,25,8.36
200,what to expect when you're expecting by arlene eisenberg,39,8.35897435897436
317,frankenstein by mary wollstonecraft shelley,31,8.35483870967742
33,the poisonwood bible by barbara kingsolver,91,8.351648351648352
413,cat's cradle by kurt vonnegut,26,8.346153846153847
66,the five people you meet in heaven by mitch albom,70,8.342857142857143
383,lucky man by michael j . fox,27,8.333333333333334
385,einstein's dreams by alan lightman,27,8.333333333333334
387,sisterhood of the traveling pants by ann brashares,27,8.333333333333334
85,bel canto by ann patchett,61,8.327868852459016
278,tears of the giraffe by alexander mccall smith,34,8.323529411764707
432,the thorn birds by colleen mccullough,25,8.32
51,fast food nation by eric schlosser,75,8.32
184,east of eden by john steinbeck,42,8.30952380952381
406,by the light of the moon by dean koontz,26,8.307692307692308
237,the pillars of the earth by ken follett,36,8.305555555555555
26,good in bed by jennifer weiner,99,8.303030303030303
291,bastard out of carolina by dorothy allison,33,8.303030303030303
9,the red tent by anita diamant,133,8.300751879699249
333,slaughterhouse five or the children's crusade by kurt vonnegut,30,8.3
378,heaven and earth by nora roberts,27,8.296296296296296
170,love in the time of cholera by gabriel garcia marquez,44,8.295454545454545
264,emma by jane austen,34,8.294117647058824
451,"rich dad , poor dad by robert t . kiyosaki",24,8.291666666666666
312,the body farm by patricia daniels cornwell,32,8.28125
138,the gunslinger by stephen king,50,8.28
288,circle of friends by maeve binchy,33,8.272727272727273
293,three to get deadly by janet evanovich,33,8.272727272727273
227,stones from the river by ursula hegi,37,8.27027027027027
73,i know this much is true by wally lamb,67,8.26865671641791
112,silence of the lambs by thomas harris,56,8.267857142857142
254,unnatural exposure by patricia daniels cornwell,35,8.257142857142858
180,the talisman by stephen king,43,8.255813953488373
194,the tao of pooh by benjamin hoff,40,8.25
307,contact by carl sagan,32,8.25
88,jane eyre by charlotte bronte,61,8.245901639344263
215,jitterbug perfume by tom robbins,38,8.236842105263158
0,the lovely bones by alice sebold,253,8.233201581027668
8,life of pi by yann martel,134,8.23134328358209
205,one hundred years of solitude by gabriel garcia marquez,39,8.23076923076923
377,the adventures of huckleberry finn by mark twain,27,8.222222222222221
234,tribulation force by tim lahaye,36,8.222222222222221
17,angela's ashes by frank mccourt,114,8.219298245614034
309,watchers by dean r . koontz,32,8.21875
78,one for the money by janet evanovich,64,8.21875
221,intensity by dean koontz,37,8.216216216216216
290,tell no one by harlan coben,33,8.212121212121213
75,nickel and dimed by barbara ehrenreich,66,8.212121212121213
14,where the heart is by billie letts,120,8.208333333333334
433,the boy next door by meggin cabot,25,8.2
443,postmortem by patricia cornwell,25,8.2
342,alias grace by margaret atwood,30,8.2
38,me talk pretty one day by david sedaris,84,8.19047619047619
175,"dude , where's my country by michael moore",43,8.186046511627907
386,heart of the sea by nora roberts,27,8.185185185185185
74,wuthering heights by emily bronte,66,8.181818181818182
86,bag of bones by stephen king,61,8.180327868852459
476,the mark by tim lahaye,23,8.173913043478262
343,wizard and glass by stephen king,29,8.172413793103448
259,dance upon the air by nora roberts,35,8.17142857142857
192,sense and sensibility by jane austen,41,8.170731707317072
336,cryptonomicon by neal stephenson,30,8.166666666666666
169,insomnia by stephen king,44,8.159090909090908
410,wizard's first rule by terry goodkind,26,8.153846153846153
366,year of wonders by geraldine brooks,28,8.142857142857142
218,desperation by stephen king,37,8.135135135135135
129,brave new world by aldous huxley,52,8.134615384615385
334,the hunt for red october by tom clancy,30,8.133333333333333
210,along came a spider by james patterson,38,8.131578947368421
486,j is for judgment by sue grafton,23,8.130434782608695
83,the curious incident of the dog in the night - time by mark haddon,62,8.129032258064516
193,dracula by bram stoker,40,8.125
189,running with scissors by augusten burroughs,41,8.121951219512194
426,the laughing corpse by laurell k . hamilton,25,8.12
405,patriot games by tom clancy,26,8.115384615384615
248,the lost boy by dave pelzer,35,8.114285714285714
121,the bonesetter's daughter by amy tan,53,8.11320754716981
393,lullaby by chuck palahniuk,27,8.11111111111111
375,call of the wild by jack london,27,8.11111111111111
211,all i really need to know by robert fulghum,38,8.105263157894736
148,the kitchen god's wife by amy tan,48,8.104166666666666
147,coraline by neil gaiman,48,8.104166666666666
101,balzac and the little chinese seamstress by dai sijie,59,8.101694915254237
57,the joy luck club by amy tan,73,8.095890410958905
117,the bean trees by barbara kingsolver,54,8.092592592592593
18,girl with a pearl earring by tracy chevalier,113,8.08849557522124
477,e is for evidence by sue grafton,23,8.08695652173913
498,"loves music , loves to dance by mary higgins clark",23,8.08695652173913
