,Title-and-Author,num_ratings,avg_rating
132,complete chronicles of narnia by c . s . lewis,10,10.0
441,the lorax by dr . seuss,7,10.0
365,the blue sword by robin mckinley,5,10.0
414,wizard of oz postcards in full color by ted menten,5,10.0
405,how the grinch stole christmas by dr . seuss,5,10.0
310,ain't nobody's business if you do by peter mcwilliams,5,10.0
245,sandman by neil gaiman,4,10.0
45,valis by philip k . dick,4,10.0
141,halloween by diane c . arkins,4,10.0
389,"oh , the thinks you can think by dr . seuss",4,10.0
68,fahrenheit 451 by bradbury,3,10.0
203,route 66 postcards by michael wallis,3,10.0
48,goodnight moon board book by margaret wise brown,3,10.0
178,the ghost of blackwood hall by carolyn keene,3,10.0
172,warlock by wilbur smith,3,10.0
393,the craft by dorothy morrison,3,10.0
448,the selected poetry of rainer maria rilke by rainer maria rilke,3,10.0
330,the herb book by john b . lust,3,10.0
442,the complete book of essential oils and aromatherapy by valerie ann worwood,3,10.0
84,there's a wocket in my pocket by dr seuss,3,10.0
417,the biggest pumpkin ever by steven kroll,3,10.0
434,deep thoughts by jack handey,3,10.0
221,it had to be you by susan elizabeth phillips,3,10.0
144,lonesome dove m by larry mcmurtry,3,10.0
430,how to cook everything by mark bittman,3,10.0
312,sisterchicks on the loose by robin jones gunn,3,10.0
5,"the illustrated brief history of time , updated and expanded edition by stephen william hawking",3,10.0
240,forever and always by lori foster,3,10.0
281,rich mullins by james bryan smith,3,10.0
316,uncle john's supremely satisfying bathroom reader by bathroom readers institute,3,10.0
485,die geliehene zeit by diana gabaldon,3,10.0
388,maggy's child by karen robards,2,10.0
311,jack of kinrowan by charles de lint,2,10.0
386,die zwei turme ii by j . r . r . tolkien,2,10.0
134,love with a long tall texan by diana palmer,2,10.0
150,the wish list by barbara ann kipfer,2,10.0
308,uncle john's bathroom reader plunges into the universe by bathroom readers hysterical society,2,10.0
264,after glow by jayne castle,2,10.0
148,insiders by rosemary rogers,2,10.0
159,story of ferdinand by munro leaf,2,10.0
146,the winter king by bernard cornwell,2,10.0
306,mouse on the mile by stephen king,2,10.0
138,my lady pirate by elizabeth doyle,2,10.0
136,the whore's child by richard russo,2,10.0
302,unveiled by francine rivers,2,10.0
272,lenore by roman dirge,2,10.0
402,bound to happen by alison kent,2,10.0
378,just a rainy day by mercer mayer,2,10.0
274,three weeks with my brother by micah sparks,2,10.0
403,biting the sun by tanith lee,2,10.0
294,adressat unbekannt by kathrine kressmann taylor,2,10.0
128,summer's child by diane chamberlain,2,10.0
126,prince of dreams by susan krinard,2,10.0
123,the victim by w . e . b . griffin,2,10.0
121,haunted america by michael norman,2,10.0
116,the veritas project by frank peretti,2,10.0
284,fat chance by leslea newman,2,10.0
422,how to practice by the dalai lama,2,10.0
285,the gashlycrumb tinies by edward gorey,2,10.0
423,the black stallion - pa by walter farley,2,10.0
425,how to marry a marquis by julia quinn,2,10.0
165,my monastery is a minivan by denise roy,2,10.0
239,traveling light by max lucado,2,10.0
169,stitch 'n bitch by debbie stoller,2,10.0
219,acting on impulse by vicki lewis thompson,2,10.0
201,the genesis wave book one by john vornholt,2,10.0
355,the right to write by julia cameron,2,10.0
251,"mary , bloody mary by carolyn meyer",2,10.0
206,and this too shall pass by e . lynn harris,2,10.0
208,fumblerules by william safire,2,10.0
349,cause for alarm by erica spindler,2,10.0
