,User-ID,User-Age,num_ratings
0,19,14.0,1
1,42,17.0,1
2,44,51.0,1
3,51,34.0,1
4,56,24.0,2
5,75,37.0,1
6,78,18.0,1
7,85,41.0,1
8,99,42.0,5
9,114,57.0,8
10,125,49.0,1
11,129,47.0,1
12,165,62.0,3
13,178,28.0,1
14,185,17.0,1
15,202,28.0,1
16,212,21.0,1
17,228,41.0,2
18,232,16.0,1
19,242,37.0,7
20,254,24.0,37
21,272,20.0,1
22,332,59.0,1
23,334,27.0,1
24,337,17.0,1
25,339,20.0,1
26,361,25.0,1
27,362,63.0,1
28,367,45.0,1
29,372,22.0,1
30,387,17.0,2
31,388,35.0,9
32,408,17.0,2
33,413,17.0,2
34,424,29.0,4
35,431,40.0,1
36,433,48.0,1
37,440,16.0,2
38,444,40.0,2
39,486,31.0,3
40,493,29.0,1
41,496,51.0,2
42,499,62.0,1
43,503,40.0,8
44,505,51.0,8
45,508,29.0,2
46,512,58.0,1
47,523,19.0,1
48,565,48.0,1
49,595,17.0,4
50,596,49.0,1
51,620,45.0,1
52,625,41.0,3
53,626,41.0,1
54,638,20.0,45
55,643,23.0,12
56,651,26.0,13
57,677,27.0,1
58,683,28.0,1
59,685,21.0,2
60,709,14.0,7
61,712,29.0,2
62,713,49.0,1
63,726,31.0,4
64,735,29.0,7
65,741,16.0,4
66,744,48.0,3
67,746,36.0,3
68,757,29.0,1
69,771,38.0,1
70,774,16.0,1
71,776,23.0,4
72,777,13.0,1
73,786,48.0,2
74,805,34.0,18
75,824,15.0,1
76,828,35.0,1
77,834,17.0,6
78,843,25.0,4
79,850,22.0,1
80,853,24.0,3
81,882,23.0,30
82,883,43.0,1
83,887,30.0,1
84,896,27.0,1
85,899,23.0,3
86,900,25.0,4
87,901,21.0,4
88,902,18.0,1
89,903,19.0,1
90,913,44.0,1
91,915,50.0,1
92,929,36.0,14
93,938,55.0,1
94,965,24.0,1
95,969,13.0,1
96,999,21.0,1
97,1009,56.0,3
98,1010,26.0,1
99,1025,33.0,11
100,1031,52.0,2
101,1038,26.0,1
102,1048,22.0,1
103,1054,37.0,2
104,1057,19.0,2
105,1060,38.0,1
106,1063,19.0,2
107,1075,49.0,9
108,1082,36.0,1
109,1113,22.0,1
110,1116,29.0,5
111,1129,53.0,8
112,1131,22.0,23
113,1133,46.0,1
114,1140,19.0,1
115,1150,25.0,1
116,1155,22.0,9
117,1164,35.0,1
118,1166,22.0,1
119,1167,25.0,8
120,1169,27.0,1
121,1178,9.0,1
122,1180,23.0,1
123,1184,38.0,2
124,1211,22.0,14
125,1214,30.0,2
126,1219,17.0,1
127,1234,25.0,1
128,1250,44.0,1
129,1254,26.0,2
130,1259,29.0,1
131,1261,46.0,5
132,1281,32.0,1
133,1297,30.0,3
134,1309,28.0,3
135,1331,32.0,1
136,1343,33.0,2
137,1368,22.0,4
138,1372,34.0,1
139,1375,59.0,1
140,1377,20.0,1
141,1389,22.0,1
142,1396,35.0,1
143,1399,41.0,2
144,1403,26.0,1
145,1409,74.0,6
146,1410,22.0,1
147,1412,47.0,7
148,1427,22.0,1
149,1433,54.0,1
150,1435,36.0,26
151,1442,36.0,1
152,1448,61.0,1
153,1485,30.0,2
154,1486,75.0,1
155,1489,20.0,1
156,1491,22.0,1
157,1511,25.0,2
158,1513,40.0,1
159,1515,27.0,1
160,1519,61.0,1
161,1530,26.0,1
162,1535,69.0,1
163,1548,28.0,13
164,1554,29.0,1
165,1558,61.0,4
166,1570,28.0,1
167,1585,29.0,10
168,1586,14.0,1
169,1589,50.0,1
170,1591,24.0,1
171,1596,51.0,3
172,1597,23.0,4
173,1608,27.0,5
174,1617,24.0,2
175,1641,22.0,1
176,1674,26.0,16
177,1688,53.0,3
178,1696,34.0,1
179,1706,26.0,4
180,1718,28.0,1
181,1721,21.0,1
182,1725,25.0,4
183,1730,33.0,1
184,1733,30.0,38
185,1759,29.0,1
186,1768,25.0,1
187,1773,16.0,1
188,1775,14.0,1
189,1790,25.0,5
190,1803,48.0,1
191,1812,24.0,3
192,1846,25.0,1
193,1848,22.0,16
194,1863,43.0,1
195,1869,21.0,1
196,1881,31.0,1
197,1892,47.0,1
198,1898,47.0,4
199,1903,36.0,14
200,1918,23.0,1
201,1928,17.0,2
202,1937,42.0,1
203,1945,54.0,1
204,1951,28.0,1
205,1989,27.0,1
206,1996,34.0,2
207,2012,34.0,9
208,2018,21.0,1
209,2019,29.0,2
210,2030,31.0,24
211,2033,27.0,72
212,2035,15.0,1
213,2036,49.0,2
214,2060,54.0,1
215,2070,22.0,1
216,2075,29.0,1
217,2084,21.0,2
218,2090,28.0,4
219,2103,43.0,6
220,2106,44.0,3
221,2115,55.0,1
222,2134,35.0,1
223,2136,45.0,3
224,2139,33.0,6
225,2147,35.0,1
226,2170,29.0,1
227,2172,17.0,1
228,2179,30.0,15
229,2181,15.0,1
230,2189,24.0,2
231,2190,29.0,1
232,2197,26.0,5
233,2199,25.0,1
234,2203,40.0,1
235,2218,48.0,1
236,2224,23.0,1
237,2230,44.0,1
238,2238,34.0,1
239,2255,35.0,3
240,2276,46.0,80
241,2281,30.0,1
242,2287,35.0,7
243,2288,30.0,10
244,2295,21.0,2
245,2296,61.0,2
246,2313,23.0,16
247,2326,23.0,2
248,2337,34.0,11
249,2340,29.0,1
250,2345,55.0,1
251,2350,24.0,1
252,2357,35.0,1
253,2358,23.0,11
254,2363,42.0,2
255,2366,16.0,1
256,2375,20.0,4
257,2376,38.0,1
258,2388,64.0,1
259,2399,32.0,6
260,2411,37.0,2
261,2416,21.0,1
262,2417,35.0,1
263,2437,45.0,6
264,2439,26.0,7
265,2442,25.0,3
266,2461,59.0,2
267,2470,22.0,1
268,2499,49.0,1
269,2503,36.0,1
270,2515,38.0,1
271,2545,48.0,2
272,2549,31.0,1
273,2562,53.0,1
274,2578,16.0,1
275,2590,26.0,1
276,2605,33.0,1
277,2622,41.0,1
278,2630,66.0,2
279,2632,47.0,1
280,2634,53.0,1
281,2640,24.0,1
282,2643,28.0,1
283,2653,46.0,1
284,2679,34.0,1
285,2685,21.0,1
286,2687,35.0,1
287,2690,35.0,1
288,2700,29.0,1
289,2719,37.0,6
290,2738,32.0,2
291,2749,18.0,1
292,2766,42.0,47
293,2789,28.0,1
294,2790,50.0,2
295,2793,34.0,5
296,2854,36.0,3
297,2855,35.0,4
298,2861,26.0,1
299,2883,43.0,1
300,2892,26.0,1
301,2906,20.0,1
302,2914,34.0,1
303,2936,30.0,1
304,2945,29.0,1
305,2948,24.0,1
306,2954,71.0,1
307,2977,25.0,24
308,2982,34.0,2
309,2995,61.0,1
310,2996,21.0,2
311,3032,40.0,1
312,3052,31.0,1
313,3053,33.0,1
314,3063,57.0,1
315,3087,20.0,1
316,3088,25.0,1
317,3100,42.0,1
318,3104,27.0,2
319,3133,34.0,1
320,3142,29.0,2
321,3145,34.0,15
322,3150,51.0,1
323,3166,15.0,1
324,3167,42.0,27
325,3168,17.0,1
326,3172,32.0,1
327,3174,24.0,1
328,3177,44.0,1
329,3191,29.0,3
330,3194,20.0,1
331,3197,38.0,1
332,3200,42.0,1
333,3206,23.0,1
334,3243,28.0,1
335,3260,45.0,1
336,3261,42.0,1
